company_raw,company_normalized,official_name,factset_entity_id
Turkiye Petrol Rafinerileri A.S. (Tupras),turkiye petrol rafinerileri a s tupras,Türkiye Petrol Rafinerileri A.Ş. (Tüpraş),05HXBZ-E
Contact Energy Limited,contact energy,Contact Energy Limited,05HXD2-E
"Faurecia Clarion Electronics (Fengcheng) Co., Ltd.",faurecia clarion electronics fengcheng,Faurecia S.E.,05HXD3-E
Elisa Oyj,elisa,Elisa Oyj,05HXDY-E
NICHIREI FRESH CO LTD,nichirei fresh,Nichirei Corporation,05HXF5-E
The Warehouse Group Limited,the warehouse,The Warehouse Group Limited,05HXFY-E
BOLLORE,bollore,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS INDIA PRIVATE LIMITED,bollore logistics india private,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS CAMBODIA LTD,bollore logistics cambodia,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS CHINA CO LTD,bollore logistics china,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS ITALY SPA,bollore logistics italy,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS REUNION,bollore logistics reunion,Bolloré SE,05HXG3-E
Agence Havas Events,agence havas events,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS,bollore logistics,Bolloré SE,05HXG3-E
BOLLORE LOGISTICS (THAILAND) CO LTD,bollore logistics thailand,Bolloré SE,05HXG3-E
BOLLORE TRANSPORT & LOGISTICS KENYA,bollore transport logistics kenya,Bolloré SE,05HXG3-E
Nisshinbo Automotive Manufacturing,nisshinbo automotive manufacturing,Nisshinbo Holdings Inc.,05HXHJ-E
DCC Energy Austria GmbH,dcc energy austria,DCC plc,05HXJ5-E
Flogas Britain Limited,flogas britain,DCC plc,05HXJ5-E
Flogas Ireland Ltd.,flogas ireland,DCC plc,05HXJ5-E
Air New Zealand Limited,air new zealand,Air New Zealand Limited,05HXJ6-E
LG,lg,LG Corporation,05HXJ7-E
Getinge Disinfection AB,getinge disinfection,Getinge AB,05HXMJ-E
Prosegur,prosegur,"Prosegur Compañía de Seguridad, S.A.",05HXMQ-E
Tibnor AB,tibnor,SSAB AB (publ),05HXP7-E
Fugro Holdings (Australia),fugro australia,Fugro N.V.,05HXPJ-E
Larsen & Toubro Limited,larsen toubro,Larsen & Toubro Limited,05HXPL-E
CHENG SHIN RUBBER(XIAMEN) IND LTD,cheng shin rubber xiamen ind,Cheng Shin Rubber Ind. Co. Ltd.,05HXPM-E
ARCELIK A.S.,arcelik a s,Arçelik A.Ş.,05HXPV-E
Axfood,axfood,Axfood AB,05HXPY-E
Axfoods,axfoods,Axfood AB,05HXPY-E
SIG Combibloc (Suzhou) Co. Ltd.,sig combibloc suzhou,SIG Combibloc Group AG,05HXRK-E
SIG Combibloc,sig combibloc,SIG Combibloc Group AG,05HXRK-E
SIG Combibloc Austria,sig combibloc austria,SIG Combibloc Group AG,05HXRK-E
SIG Combibloc Germany,sig combibloc germany,SIG Combibloc Group AG,05HXRK-E
K LINE INDIA PRIVATE LIMITED,k line india private,"Kawasaki Kisen Kaisha, Ltd.",05HXRN-E
K Line European Sea Highway Services GmbH,k line european sea highway services,"Kawasaki Kisen Kaisha, Ltd.",05HXRN-E
TECO Australia P/L,teco australia p l,"TECO Electric & Machinery Co., Ltd.",05HYT4-E
Toshiba TEC UK Imaging Systems,toshiba tec uk imaging systems,Toshiba Tec Corporation,05HYTV-E
Toshiba TEC,toshiba tec,Toshiba Tec Corporation,05HYTV-E
Toshiba TEC UK,toshiba tec uk,Toshiba Tec Corporation,05HYTV-E
Toshiba TEC Germany Imaging Systems,toshiba tec germany imaging systems,Toshiba Tec Corporation,05HYTV-E
Georg Fischer Gmbh,georg fischer,Georg Fischer AG,05HYVW-E
SCG LOGISTICS MANAGEMENT CO LTD,scg logistics management,SCG Packaging Public Company Limited,05HYWJ-E
"SOMFY ESPAÑA, S.A.U.",somfy espana s a u,Somfy SA,05HYWS-E
Singapore Exchange Limited Pte Ltd,singapore exchange,Singapore Exchange Limited,05HYX5-E
Stada Arzneimittel AG,stada arzneimittel,Stada Arzneimittel AG,05HYXM-E
LOGWIN AIR & OCEAN CHINA LTD,logwin air ocean china,Logwin AG,05HYZ3-E
Logwin Air + Ocean,logwin air ocean,Logwin AG,05HYZ3-E
Jerónimo Martins,jeronimo martins,"Jerónimo Martins, SGPS, S.A.",05HZ0L-E
ENKA Insaat ve Sanayi A.S.,enka insaat ve sanayi a s,ENKA İnşaat ve Sanayi A.Ş.,05HZ0W-E
SkyCity Entertainment Group Limited,skycity entertainment,SkyCity Entertainment Group Limited,05HZ0Y-E
Incitec Pivot,incitec pivot,Incitec Pivot Limited,05HZ21-E
Ratos,ratos,Ratos AB (publ),05HZ27-E
Colbún S.A.,colbun s a,Colbún S.A.,05HZ2H-E
Colbún,colbun,Colbún S.A.,05HZ2H-E
Computershare Ltd,computershare,Computershare Limited,05HZ3D-E
DSV AIR & SEA INC,dsv air sea,DSV A/S,05HZ61-E
DSV AIR AND SEA PVT LTD,dsv air and sea pvt,DSV A/S,05HZ61-E
DSV AIR & SEA PVT LTD,dsv air sea pvt,DSV A/S,05HZ61-E
DSV LATVIA SIA,dsv latvia sia,DSV A/S,05HZ61-E
DSV AIR & SEA DWC LLC,dsv air sea dwc,DSV A/S,05HZ61-E
DSV AIR & SEA GERMANY GMBH,dsv air sea germany,DSV A/S,05HZ61-E
DSV AIR & SEA CO LTD ZHONGSHAN BRANCH,dsv air sea zhongshan branch,DSV A/S,05HZ61-E
DSV LOGISTICS,dsv logistics,DSV A/S,05HZ61-E
DSV SOUTH AFRICA PTY LTD,dsv south africa,DSV A/S,05HZ61-E
DSV LITHUANIA UAB,dsv lithuania uab,DSV A/S,05HZ61-E
DSV AIR & SEA MIDDLE EAST DWC LLC,dsv air sea middle east dwc,DSV A/S,05HZ61-E
DSV AIR AND SEA PAKISTAN SMC,dsv air and sea pakistan smc,DSV A/S,05HZ61-E
DSV AIR & SEA S.A.,dsv air sea s a,DSV A/S,05HZ61-E
KANEMATSU CORPORATION,kanematsu,Kanematsu Corporation,05HZ70-E
Ontex,ontex,Ontex Group NV,05HZ7P-E
Harbour Energy Marketing Limited,harbour energy marketing,,05HZ8X-E
CCR,ccr,CCR S.A.,05HZBC-E
Energiedienst AG,energiedienst,Energiedienst Holding AG,05HZC4-E
Energiedienst AG Rheinfelden,energiedienst rheinfelden,Energiedienst Holding AG,05HZC4-E
Sika (China) Ltd.,sika china,Sika AG,05HZFP-E
"Sika Portugal - Produtos Construção e Indústria, S.A.",sika portugal produtos construcao e industria s a,Sika AG,05HZFP-E
"Spirax Sarco, Inc",spirax sarco,Spirax-Sarco Engineering plc,05HZFW-E
SPIRAX-SARCO INDUSTRIA E COMERCIO LTDA,spirax sarco industria e comercio ltda,Spirax-Sarco Engineering plc,05HZFW-E
"ITOCHU ENEX CO.,LTD.",itochu enex,"Itochu Enex Co., Ltd.",05HZGC-E
Brickworks Daniel Robertson,brickworks daniel robertson,Brickworks Limited,05HZHY-E
Brickworks,brickworks,Brickworks Limited,05HZHY-E
Brickworks Building Products,brickworks building products,Brickworks Limited,05HZHY-E
